Underlying,Action,Quantity,Price,Time,Date,Exch.,Account,Order Ref.,Clearing
AESE,SLD,100,2.76,12:23:54,20200618,ISLAND,UXXX123,ChartTrader1457972773,
AESE,BOT,55,2.72,12:25:33,20200618,ISLAND,UXXX123,ChartTrader1457972773,
AESE,BOT,45,2.72,12:25:35,20200618,DRCTEDGE,UXXX123,ChartTrader1457972773,
AESE,SLD,150,3.67,13:10:15,20200618,ISLAND,UXXX123,ChartTrader1457972773,
AESE,SLD,122,3.67,13:10:17,20200618,ISLAND,UXXX123,ChartTrader1457972773,
AESE,BOT,272,3.94,13:17:19,20200618,ISLAND,UXXX123,ChartTrader1457972773,
HIHO,BOT,262,2.52,13:31:08,20200618,ISLAND,UXXX123,ChartTrader702997755,
GSAT,SLD,1723,0.5803,14:09:18,20200618,DRCTEDGE,UXXX123,ChartTrader1457972773,
GSAT,BOT,549,0.4273,14:17:54,20200618,DRCTEDGE,UXXX123,ChartTrader1457972773,
GSAT,BOT,400,0.4273,14:17:54,20200618,DRCTEDGE,UXXX123,ChartTrader1457972773,
GSAT,BOT,774,0.4273,14:17:54,20200618,DRCTEDGE,UXXX123,ChartTrader1457972773,
